Date,mean_power,mean_radiation,mean_temp,mean_humid,mean_cloud,mean_panel
2020-03-01,123.98294416766483,0.6573402060525867,33.44444444444444,49.333333333333336,3.2222222222222223,0.07896694107814599
2020-03-02,45.944690339340745,0.664004915658193,49.0,66.55555555555556,7.666666666666667,0.02926298999622085
2020-03-03,28.2232124885463,0.6706700008635604,48.0,85.55555555555556,8.0,0.0179758657336376
2020-03-04,114.43939417582406,0.6773324824218467,41.333333333333336,60.0,6.444444444444445,0.07288848444089363
2020-03-05,158.84714010742596,0.6839894053569895,39.111111111111114,51.888888888888886,4.0,0.10117256722289177
2020-03-06,67.76117663169815,0.6906378418743967,37.0,70.22222222222223,7.888888888888889,0.04315829792866527
2020-03-07,122.88388300247223,0.6972748942390239,31.0,47.666666666666664,0.2222222222222222,0.07826692948497335
2020-03-08,162.70131421696664,0.7038976976135942,51.77777777777778,31.333333333333332,2.7777777777777777,0.10362735922558394
2020-03-09,114.49668737539443,0.7105034228497944,62.111111111111114,29.666666666666668,4.444444444444445,0.07292497549815175
2020-03-10,28.094531972137034,0.7170892792253485,51.44444444444444,80.44444444444444,8.0,0.01789390682529409
2020-03-11,79.91549162124443,0.7236525171200487,37.0,55.44444444444444,7.666666666666667,0.050899597202271676
2020-03-12,63.60204292486483,0.7301904306239363,45.666666666666664,60.888888888888886,7.555555555555555,0.04050927173745393
2020-03-13,69.87971779404259,0.7367003600710549,44.44444444444444,57.333333333333336,7.222222222222222,0.04450763445443969
2020-03-14,66.97431070523518,0.7431796944923971,37.0,59.44444444444444,8.0,0.042657129032664755
2020-03-15,186.95001986985187,0.7496258739819358,32.888888888888886,38.888888888888886,0.4444444444444444,0.11907179090421231
2020-03-16,130.34037539087035,0.7560363919698925,41.44444444444444,30.22222222222222,5.555555555555555,0.08301610203477189
2020-03-17,45.08687350761112,0.762408797397701,42.77777777777778,67.77777777777777,7.777777777777778,0.028716631207423012
2020-03-18,108.30195146101852,0.7687406967894748,43.44444444444444,48.0,7.0,0.06897943807581348
2020-03-19,63.15204632457963,0.7750297562150918,50.0,74.22222222222223,8.0,0.040222660903531215
2020-03-20,67.60806708525926,0.7812737031404269,61.44444444444444,67.22222222222223,7.333333333333333,0.04306077973684212
2020-03-21,183.14071332505557,0.7874703281606112,28.555555555555557,50.22222222222222,2.7777777777777777,0.11664557585107778
2020-03-22,194.0827346874815,0.7936174866126253,32.0,39.0,2.4444444444444446,0.12361474376367404
2020-03-23,32.535870906129624,0.7997131000639297,35.77777777777778,88.0,8.0,0.02072267454220186
2020-03-24,68.31970981059445,0.8057551576742834,40.333333333333336,65.44444444444444,7.555555555555555,0.043514037638866444
2020-03-25,99.4116597175,0.811741717428311,47.666666666666664,62.111111111111114,7.333333333333333,0.06331705322932547
2020-03-26,84.35782067592595,0.8176709072368413,56.44444444444444,53.77777777777778,7.0,0.053728995544646746
2020-03-27,128.94836892474444,0.823540925905477,45.22222222222222,61.22222222222222,4.777777777777778,0.0821295083719991
2020-03-28,20.470865357688886,0.8293500439692871,46.44444444444444,81.11111111111111,8.0,0.013038258039212401
2020-03-29,69.88502713706481,0.8350966043929868,61.44444444444444,71.0,7.111111111111111,0.04451101606939015
2020-03-30,51.95231299704815,0.8407790231363808,45.666666666666664,71.44444444444444,8.0,0.03308935165923612
2020-03-31,45.42255608766666,0.8463957895852872,42.22222222222222,84.44444444444444,8.0,0.02893043340979981
2020-04-01,197.00260420374076,0.8519454668486033,43.333333333333336,48.55555555555556,2.6666666666666665,0.12547446056257913
2020-04-02,199.18333078962962,0.8574266919225564,49.111111111111114,40.888888888888886,2.2222222222222223,0.12686340409002558
2020-04-03,50.18291766892593,0.8628381757236131,42.0,87.22222222222223,8.0,0.0319623923217419
2020-04-04,47.70177540206111,0.868178702991889,47.55555555555556,80.33333333333333,8.0,0.030382108706851665
2020-04-05,68.96057884984445,0.873447132067291,49.0,69.11111111111111,7.444444444444445,0.043922218522140406
2020-04-06,194.27592409353704,0.8786423945409447,51.0,42.888888888888886,3.111111111111111,0.1237377895305521
2020-04-07,164.00011408624073,0.8837634947848368,55.333333333333336,39.111111111111114,5.555555555555555,0.1044545879499686
2020-04-08,62.27234994305555,0.8888095093628734,50.0,74.55555555555556,7.555555555555555,0.03966236664053543
2020-04-09,126.27472709078519,0.8937795863268748,43.333333333333336,55.888888888888886,6.888888888888889,0.0804266183609278
2020-04-10,54.1739908610963,0.8986729444012757,38.888888888888886,62.888888888888886,7.111111111111111,0.034504377783697734
2020-04-11,173.53037053651852,0.9034888720605606,42.333333333333336,43.0,5.111111111111111,0.11052457769429168
2020-04-12,85.15076543220373,0.9082267265036733,56.44444444444444,36.77777777777778,7.888888888888889,0.054234036155414424
2020-04-13,36.14031069703148,0.9128859325298302,57.888888888888886,80.66666666666667,8.0,0.023018406318041595
2020-04-14,179.0046803549259,0.9174659813203567,42.666666666666664,30.0,6.555555555555555,0.11401126292971485
2020-04-15,147.63091351335186,0.9219664291312889,38.77777777777778,45.77777777777778,6.777777777777778,0.09402875312394912
2020-04-16,99.64582093704072,0.9263868959016232,33.666666666666664,70.66666666666667,6.777777777777778,0.0634661946725328
2020-04-17,109.16650586375928,0.930727063782175,38.55555555555556,50.55555555555556,8.0,0.0695300881433563
2020-04-18,135.9443707759889,0.9349866755900944,43.888888888888886,45.55555555555556,6.666666666666667,0.08658538631294174
2020-04-19,96.66371227442592,0.9391655331941302,49.22222222222222,64.33333333333333,7.666666666666667,0.06156683665494228
